Sample ID,H₂,CH₄,C₂H₆,C₂H₄,C₂H₂,CO,CO₂,State,State Name
1,20.83,9.95,7.72,23.4,0.98,257.74,2582.41,0,Very Good
2,12.46,9.79,4.2,18.16,0.79,261.15,2624.97,0,Very Good
3,15.24,7.82,7.23,20.12,0.51,245.92,3338.77,0,Very Good
4,27.79,9.17,6.84,18.78,1.45,155.81,2292.51,0,Very Good
5,15.0,7.28,9.32,27.52,0.66,301.23,3189.36,0,Very Good
6,18.29,12.17,8.33,24.9,0.89,394.59,3007.82,0,Very Good
7,18.03,6.12,6.63,24.4,1.0,283.52,2316.26,0,Very Good
8,21.15,11.85,7.86,32.04,1.01,247.39,2790.38,0,Very Good
9,17.79,9.9,5.32,10.19,0.4,178.22,2113.76,0,Very Good
10,17.84,6.46,6.77,20.58,1.21,227.78,2385.77,0,Very Good
11,17.8,9.53,6.11,30.72,0.67,404.26,3205.18,0,Very Good
12,21.33,11.81,6.85,32.3,0.91,276.32,1859.74,0,Very Good
13,16.93,8.69,6.37,24.81,0.93,244.96,2637.12,0,Very Good
14,32.94,13.29,8.51,26.46,0.98,225.32,2345.81,0,Very Good
15,13.57,12.37,7.77,34.65,1.18,157.03,2092.5,0,Very Good
16,14.63,9.6,7.07,19.18,0.52,205.94,1699.89,0,Very Good
17,26.08,12.73,14.32,28.02,1.08,267.11,1875.92,0,Very Good
18,11.4,8.37,4.32,7.45,0.51,210.49,1842.88,0,Very Good
19,20.59,17.38,11.52,17.57,0.98,245.84,3831.94,0,Very Good
20,12.55,12.25,4.89,34.37,1.31,344.93,3032.63,0,Very Good
21,15.95,8.54,7.81,23.94,1.56,197.74,2175.85,0,Very Good
22,27.26,17.56,7.82,33.63,1.43,334.56,3137.45,0,Very Good
23,13.92,11.63,7.57,23.93,1.35,213.5,2059.61,0,Very Good
24,17.55,7.59,10.38,32.05,0.92,199.92,2424.8,0,Very Good
25,22.73,9.13,8.28,22.5,1.15,205.83,1998.45,0,Very Good
26,14.83,8.34,7.7,25.83,0.82,238.76,2817.82,0,Very Good
27,20.63,15.85,14.97,24.8,1.19,235.79,2119.2,0,Very Good
28,15.0,10.62,6.05,24.71,0.71,131.62,1382.93,0,Very Good
29,14.25,5.61,3.5,14.18,0.88,223.73,2467.27,0,Very Good
30,32.03,11.47,10.59,34.07,1.1,316.46,2243.38,0,Very Good
31,20.5,13.48,9.67,27.39,1.22,309.95,2055.62,0,Very Good
32,19.78,6.71,7.36,26.3,1.26,328.87,2314.44,0,Very Good
33,18.29,9.77,4.93,34.29,1.17,253.75,1486.79,0,Very Good
34,27.57,8.41,9.21,32.06,0.5,304.25,2760.32,0,Very Good
35,20.38,6.34,4.92,18.8,1.06,253.01,2808.16,0,Very Good
36,18.54,7.33,7.24,15.9,0.58,219.31,2036.06,0,Very Good
37,26.56,12.23,10.36,25.99,0.84,250.28,3518.37,0,Very Good
38,15.62,7.88,6.02,15.11,0.83,149.74,2786.26,0,Very Good
39,34.72,11.5,9.37,40.2,1.4,291.58,2778.65,0,Very Good
40,18.58,14.04,10.45,24.06,1.05,336.87,3650.46,0,Very Good
41,19.28,11.68,7.89,40.65,0.94,489.75,3261.73,0,Very Good
42,19.89,12.81,7.97,31.57,0.83,204.31,2531.49,0,Very Good
43,21.61,10.1,6.55,23.56,1.48,248.77,1957.73,0,Very Good
44,10.77,5.41,3.6,13.69,0.76,357.72,2307.6,0,Very Good
45,19.94,8.55,6.31,12.86,0.89,144.1,2264.64,0,Very Good
46,14.04,10.01,10.54,15.49,1.0,176.59,1825.81,0,Very Good
47,9.86,15.74,5.21,37.67,1.34,372.75,2332.77,0,Very Good
48,25.87,8.02,11.2,29.77,0.82,258.76,3270.13,0,Very Good
49,14.97,9.96,6.17,25.35,1.26,298.93,2911.75,0,Very Good
50,22.35,9.86,4.81,20.06,1.04,183.88,2428.1,0,Very Good
51,29.0,12.51,7.18,19.91,0.97,220.59,1953.62,0,Very Good
52,20.25,16.26,8.46,34.39,1.37,187.15,2214.88,0,Very Good
53,16.97,7.53,6.23,22.2,0.91,142.05,1863.25,0,Very Good
54,23.12,7.68,5.53,12.91,1.21,234.98,2015.97,0,Very Good
55,26.91,12.63,9.51,17.41,1.06,241.07,1872.13,0,Very Good
56,20.41,11.16,11.33,27.99,0.9,282.35,1865.73,0,Very Good
57,19.89,11.46,3.39,13.93,0.85,245.31,2672.26,0,Very Good
58,8.55,16.14,7.3,23.46,0.9,195.69,3376.69,0,Very Good
59,15.92,8.79,4.89,13.01,0.89,233.1,2706.57,0,Very Good
60,9.85,11.07,9.78,21.58,0.22,143.22,1735.52,0,Very Good
61,16.98,11.03,4.96,22.2,1.03,216.76,3137.04,0,Very Good
62,17.14,7.47,6.74,24.66,0.56,316.96,2389.06,0,Very Good
63,15.48,9.3,9.16,46.88,1.24,163.74,2435.01,0,Very Good
64,16.43,9.99,4.81,18.49,0.63,175.57,1946.4,0,Very Good
65,22.32,9.09,4.71,24.45,1.93,186.41,1732.33,0,Very Good
66,17.47,11.68,7.32,30.11,1.33,191.14,1279.1,0,Very Good
67,28.84,8.07,4.99,20.99,0.96,211.3,1689.92,0,Very Good
68,28.77,11.42,8.09,32.66,1.09,296.29,1105.01,0,Very Good
69,8.46,3.75,3.6,17.11,1.04,235.08,1746.03,0,Very Good
70,23.63,7.33,4.45,34.71,1.05,183.03,1998.85,0,Very Good
71,7.76,10.54,6.79,24.76,1.45,249.53,3342.2,0,Very Good
72,20.62,14.6,8.71,38.44,0.77,315.47,2948.82,0,Very Good
73,22.4,11.58,7.76,30.51,1.33,330.09,3385.53,0,Very Good
74,11.72,5.41,4.36,18.81,0.6,215.21,2738.93,0,Very Good
75,24.91,14.81,8.19,37.38,1.25,191.36,2130.56,0,Very Good
76,15.03,8.06,6.36,14.36,0.59,325.1,1950.03,0,Very Good
77,12.04,8.28,7.11,24.36,0.99,131.16,1837.03,0,Very Good
78,25.74,11.45,7.34,24.98,1.72,202.27,2087.85,0,Very Good
79,16.84,5.62,4.48,10.85,0.44,212.09,2333.6,0,Very Good
80,20.06,8.07,6.46,14.76,0.99,196.52,2040.44,0,Very Good
81,25.36,13.91,12.73,54.23,1.33,185.91,2706.29,0,Very Good
